Métodos              | Arquivo Ordenado                                                              | Arquivo Reverso                                                               | Arquivo Randômico                                                            
                     | Comp. Prog.   | Comp. Equa.   | Mov. Prog.    | Mov. Equa.    | Tempo         | Comp. Prog.   | Comp. Equa.   | Mov. Prog.    | Mov. Equa.    | Tempo         | Comp. Prog.   | Comp. Equa.   | Mov. Prog.    | Mov. Equa.    | Tempo         | 
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Inserção Direta      | 1023          | 1023          | 1023          | 3069          | 1200145       | 524799        | 262399        | 524799        | 264447        | 2703410       | 263193        | 262399        | 263193        | 525822        | 2510731       |
Inserção Binária     | 10232         | 6585          | 1023          | 3069          | 2301765       | 9214          | 6585          | 524799        | 264447        | 2403410       | 16014         | 6585          | 513415        | 525822        | 3410731       |
Seleção Direta       | 523776        | 523776        | 2046          | 3069          | 2408982       | 523776        | 523776        | 2046          | 265213        | 2577623       | 523776        | 523776        | 2046          | 265213        | 4054179       |
Bolha                | 1023          | 523776        | 0             | 0             | 3030145       | 523776        | 523776        | 1047550       | 786430        | 4077623       | 561523        | 523776        | 56152         | 786430        | 3326519       |
Shake                | 1023          | 523776        | 0             | 0             | 915128        | 523776        | 523776        | 1047550       | 786430        | 3174541       | 574142        | 523776        | 523358        | 786430        | 3012451       |
Shell                | 5601          | X             | 5601          | X             | 835128        | 10051         | X             | 10051         | X             | 2478049       | 15297         | X             | 15297         | X             | 2118426       |
Heap                 | 524288        | X             | 18684         | X             | 1995952       | 524288        | X             | 16916         | X             | 2073212       | 524288        | X             | 18938         | X             | 1848193       |
Quick s/ pivô        | 524799        | X             | 2046          | X             | 1583912       | 525311        | X             | 2046          | X             | 1878941       | 17541         | X             | 7166          | X             | 1146683       |
Quick c/ pivô        | 9228          | X             | 1023          | X             | 1733912       | 9238          | X             | 1023          | X             | 1598413       | 13694         | X             | 5434          | X             | 2119519       |
Merge 1ª Implement   | 9217          | X             | 20480         | X             | 2982858       | 9217          | X             | 20480         | X             | 1898653       | 8789          | X             | 20480         | X             | 1818619       |
Merge 2ª Implement   | 5120          | X             | 20480         | X             | 2752858       | 5120          | X             | 20480         | X             | 2015193       | 8786          | X             | 20480         | X             | 1916640       |
Counting             | 1023          | X             | 1023          | X             | 1368871       | 1023          | X             | 1023          | X             | 1661862       | 1023          | X             | 1023          | X             | 1762423       |
Bucket               | 183515        | X             | 1023          | X             | 1962165       | 367030        | X             | 1023          | X             | 1901156       | 287136        | X             | 1023          | X             | 1962423       |
Radix                | 41984         | X             | 4096          | X             | 3708711       | 41984         | X             | 4096          | X             | 3707629       | 41984         | X             | 4096          | X             | 3651729       |
Comb                 | 19168         | X             | 0             | X             | 915725        | 20191         | X             | 3283          | X             | 2913641       | 21600         | X             | 8164          | X             | 2355125       |
Gnome                | 1023          | X             | 0             | X             | 425725        | 1045374       | X             | 1047552       | X             | 4993137       | 518324        | X             | 523358        | X             | 4219981       |
Tim                  | 6128          | X             | 21488         | X             | 92150         | 37456         | X             | 52736         | X             | 194123        | 23583         | X             | 36858         | X             | 641642        |
